DateTime,OPEN,CLOSE,VOLUME,AMT
2016/6/6,3192.7793,3178.7883,7669375100,1.01176E+11
2016/6/7,3182.4374,3177.0536,6892831400,88711618425
2016/6/8,3171.8134,3163.9864,7629177500,97682790861
2016/6/13,3134.0453,3066.3413,9297594700,1.14091E+11
2016/6/14,3058.4433,3075.9834,6627945700,78622305350
2016/6/15,3043.9577,3116.3682,8739325700,1.0617E+11
2016/6/16,3104.3619,3094.6748,8297470300,93496238871
2016/6/17,3096.0901,3110.3572,8540298500,97953389320
2016/6/20,3114.9064,3112.6744,6358714100,74647802462
2016/6/21,3124.8984,3106.3175,8796534500,1.07234E+11
2016/6/22,3100.4496,3133.9611,6648711300,81348715848
2016/6/23,3129.7207,3117.3168,6775173800,81732552159
2016/6/24,3110.6465,3077.1554,10479220800,1.18967E+11
2016/6/27,3065.128,3120.5443,8326725900,1.04066E+11
2016/6/28,3107.3979,3136.4013,9202463700,1.17198E+11
2016/6/29,3142.4842,3151.3898,10372366800,1.17959E+11
2016/6/30,3152.8331,3153.921,7969261700,1.00628E+11
2016/7/1,3156.932,3154.2003,7174628300,91215027688
2016/7/4,3136.3852,3204.6962,13331052900,1.49895E+11
2016/7/5,3199.1572,3207.3827,13022689500,1.43899E+11
2016/7/6,3197.6249,3216.8035,12489745800,1.47232E+11
2016/7/7,3206.5507,3209.9542,11859520200,1.40489E+11
2016/7/8,3199.7542,3192.2804,8973485500,1.11063E+11
2016/7/11,3199.0383,3203.3298,13852951100,1.55288E+11
2016/7/12,3201.9062,3273.1823,17253421700,1.90854E+11
2016/7/13,3274.0202,3282.8681,17519609000,1.96592E+11
2016/7/14,3277.4816,3276.7637,10752579800,1.2809E+11
2016/7/15,3278.8357,3276.2775,10266502600,1.2518E+11
2016/7/18,3269.7077,3262.0222,11031251800,1.29786E+11
2016/7/19,3260.4349,3248.2341,8888686100,1.07109E+11
2016/7/20,3246.8626,3237.6051,7270125500,91367448994
2016/7/21,3238.3367,3252.5227,8600482500,1.07464E+11
2016/7/22,3251.242,3225.1621,8602912800,1.07417E+11
2016/7/25,3220.1658,3230.885,7020318500,92015844035
2016/7/26,3228.234,3269.5882,8105108900,1.03746E+11
2016/7/27,3270.0837,3218.243,16018866500,1.86928E+11
2016/7/28,3204.4645,3221.1365,11277996400,1.37296E+11
2016/7/29,3217.1923,3203.9304,8804483700,1.03787E+11
2016/8/1,3196.425,3176.8091,8700349700,98818634361
2016/8/2,3173.7576,3189.0529,6216763900,70640763842
2016/8/3,3179.6842,3193.5073,7286410200,79754323301
2016/8/4,3190.546,3201.2888,7350437300,86919591121
2016/8/5,3201.3543,3205.1101,7719636600,94429542391
2016/8/8,3199.5723,3234.1833,8667605100,1.02638E+11
2016/8/9,3232.603,3256.9813,9106525900,1.05924E+11
2016/8/10,3255.1822,3243.3409,9043037200,1.06157E+11
2016/8/11,3239.5583,3233.3604,10104121300,1.16996E+11
2016/8/12,3231.8065,3294.2337,11625404400,1.29355E+11
2016/8/15,3303.4688,3393.4239,22054342100,2.58897E+11
2016/8/16,3403.3839,3378.2451,19638974000,2.26785E+11
2016/8/17,3377.7713,3373.0476,13884768800,1.67918E+11
2016/8/18,3369.9472,3364.4851,14238016900,1.72257E+11
2016/8/19,3358.555,3365.0197,11996150800,1.35383E+11
2016/8/22,3364.681,3336.7949,10795100800,1.28202E+11
2016/8/23,3332.621,3341.8298,9292451600,1.08504E+11
2016/8/24,3341.9304,3329.8631,8119142900,94012832200
2016/8/25,3314.0846,3308.9721,10058915300,1.12578E+11
2016/8/26,3312.4991,3307.0902,8153069100,93213205560
2016/8/29,3306.5749,3307.7812,7703633300,88011642022
2016/8/30,3310.3188,3311.9872,7572598700,89513016667
2016/8/31,3310.5654,3327.7938,7957080500,99215044445
2016/9/1,3326.7389,3301.5767,8494721900,1.00911E+11
2016/9/2,3298.7217,3314.1142,8279180300,99396378584
2016/9/5,3321.0053,3319.6803,7829247700,87531089645
2016/9/6,3322.018,3342.6259,9828399800,1.18367E+11
2016/9/7,3344.0657,3340.8172,10294010600,1.1512E+11
2016/9/8,3338.0082,3339.564,7191615800,83742346850
2016/9/9,3339.3733,3318.044,8265703600,95471188732
2016/9/12,3271.8702,3262.6043,12291768200,1.34457E+11
2016/9/13,3265.3373,3260.333,6718028800,76862644231
2016/9/14,3245.7371,3238.7299,7043269700,79780746436
